1.750E+02   5.580E+03   6.954E+04   1.162E+13   9.030E+16   1.930E-07
1.500E+02   5.790E+03   8.299E+04   1.772E+13   1.038E+17   2.220E-07
1.350E+02   5.980E+03   9.200E+04   2.577E+13   1.114E+17   2.382E-07
1.200E+02   6.180E+03   1.016E+05   3.859E+13   1.190E+17   2.544E-07
1.100E+02   6.340E+03   1.083E+05   5.296E+13   1.237E+17   2.645E-07
1.000E+02   6.520E+03   1.153E+05   7.490E+13   1.280E+17   2.736E-07
9.000E+01   6.720E+03   1.227E+05   1.087E+14   1.321E+17   2.824E-07
8.000E+01   6.980E+03   1.301E+05   1.710E+14   1.348E+17   2.882E-07
7.000E+01   7.280E+03   1.378E+05   2.789E+14   1.368E+17   2.924E-07
6.000E+01   7.590E+03   1.454E+05   4.460E+14   1.383E+17   2.956E-07
5.000E+01   7.900E+03   1.532E+05   6.904E+14   1.398E+17   2.988E-07
4.000E+01   8.220E+03   1.611E+05   1.049E+15   1.409E+17   3.012E-07
3.000E+01   8.540E+03   1.690E+05   1.545E+15   1.418E+17   3.031E-07
2.000E+01   8.860E+03   1.772E+05   2.217E+15   1.427E+17   3.050E-07
1.000E+01   9.140E+03   1.856E+05   2.986E+15   1.441E+17   3.079E-07
0.000E+00   9.400E+03   1.939E+05   3.878E+15   1.456E+17   3.111E-07
